id,name,employer,salary,city,address,experience,education,schedule,source,url,score,fit,opportunityScore,opportunity,firstSeenAt,lastSeenAt,isNew,publishedAt,checkedAt
"trudvsem-340133d8-5263-11f1-b37c-614806db9c9b","ведущий специалист 1 разряда отдела организации работы комиссии по делам несовершеннолетних и защите их прав","АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОКРУГА СПАССК-ДАЛЬНИЙ","от 50000","Приморский край","Приморский край, г Спасск-Дальний, Борисова улица, дом: Д. 17;","Не указано","Высшее образование — бакалавриат","Полный рабочий день","Работа России","https://trudvsem.ru/vacancy/card/1022500818790/340133d8-5263-11f1-b37c-614806db9c9b","15","Слабое совпадение","53","Обычная вакансия","2026-06-30T07:37:43.730Z","2026-06-30T07:37:43.730Z","true","2026-05-18","2026-06-30T07:37:33.768Z"
"trudvsem-1325b668-5261-11f1-b37c-614806db9c9b","ведущий специалист 1 разряда управления имущественных отношений","АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОКРУГА СПАССК-ДАЛЬНИЙ","от 58000","Приморский край","Приморский край, г Спасск-Дальний, Борисова улица, дом: Д. 17;","Не указано","Высшее образование — бакалавриат","Полный рабочий день","Работа России","https://trudvsem.ru/vacancy/card/1022500818790/1325b668-5261-11f1-b37c-614806db9c9b","35","Слабое совпадение","57","Обычная вакансия","2026-06-30T07:37:43.730Z","2026-06-30T07:37:43.730Z","true","2026-05-18","2026-06-30T07:37:33.768Z"
"trudvsem-d9e99fc8-7113-11f1-b55b-1f6a79e1a270","Технический руководитель","ООО ""КРАЕВОЙ ЦЕНТР ОХРАНЫ ТРУДА""","от 50000","Приморский край","Приморский край, г Спасск-Дальний, Советская улица, дом: ДОМ 66;","1","Среднее профессиональное образование","Полный рабочий день","Работа России","https://trudvsem.ru/vacancy/card/1102510000064/d9e99fc8-7113-11f1-b55b-1f6a79e1a270","100","Хорошо подходит","90","Срочно посмотреть","2026-06-30T07:37:43.730Z","2026-06-30T07:37:43.730Z","true","2026-06-26","2026-06-30T07:37:33.768Z"
"trudvsem-cdeca718-7110-11f1-8ebd-35060bb86e5d","Инженер-метролог","ООО ""КРАЕВОЙ ЦЕНТР ОХРАНЫ ТРУДА""","от 40000","Приморский край","Приморский край, г Спасск-Дальний, Советская улица, дом: ДОМ 66;","Не указано","Среднее профессиональное образование","Полный рабочий день","Работа России","https://trudvsem.ru/vacancy/card/1102510000064/cdeca718-7110-11f1-8ebd-35060bb86e5d","60","Можно рассмотреть","77","Сильная возможность","2026-06-30T07:37:43.730Z","2026-06-30T07:37:43.730Z","true","2026-06-26","2026-06-30T07:37:33.768Z"
"trudvsem-bcc39ca8-21a6-11f1-9ac8-d164183f71d4","Уборщик территорий","МБОУ СОШ № 1","от 40640","Приморский край","Приморский край, г Спасск-Дальний, Советская улица, дом: ДОМ 64 А;","Не указано","Tребования не предъявляются","Неполный рабочий день/неполная рабочая неделя","Работа России","https://trudvsem.ru/vacancy/card/1022500820572/bcc39ca8-21a6-11f1-9ac8-d164183f71d4","55","Можно рассмотреть","71","Сильная возможность","2026-06-30T07:37:43.730Z","2026-06-30T07:37:43.730Z","true","2026-03-17","2026-06-30T07:37:33.768Z"
"trudvsem-85065168-219a-11f1-9ac8-d164183f71d4","Уборщик территорий","МБОУ ЦО ""СОДРУЖЕСТВО"" МО СПАССК-ДАЛЬНИЙ","от 40640","Приморский край","Приморский край, г Спасск-Дальний, Дербенёва улица, дом: Д.25А;","Не указано","Tребования не предъявляются","Неполный рабочий день/неполная рабочая неделя","Работа России","https://trudvsem.ru/vacancy/card/1022500820792/85065168-219a-11f1-9ac8-d164183f71d4","55","Можно рассмотреть","71","Сильная возможность","2026-06-30T07:37:43.730Z","2026-06-30T07:37:43.730Z","true","2026-03-17","2026-06-30T07:37:33.768Z"
"trudvsem-c0b6f388-684a-11f1-a95e-05a97d193f2d","учитель информатики","МБОУ ЦО ""ПРИТЯЖЕНИЕ"" МО СПАССК-ДАЛЬНИЙ","от 50000","Приморский край","Приморский край, г Спасск-Дальний, Красногвардейская улица, дом: Д. 73;","Не указано","Среднее профессиональное образование","Полный рабочий день","Работа России","https://trudvsem.ru/vacancy/card/1022500820616/c0b6f388-684a-11f1-a95e-05a97d193f2d","80","Хорошо подходит","86","Срочно посмотреть","2026-06-30T07:37:43.730Z","2026-06-30T07:37:43.730Z","true","2026-06-15","2026-06-30T07:37:33.768Z"
"trudvsem-8e50052f-3f92-11f1-af40-15277f213853","учитель географии","МБОУ ЦО ""ПРИТЯЖЕНИЕ"" МО СПАССК-ДАЛЬНИЙ","от 65000","Приморский край","Приморский край, г Спасск-Дальний, Красногвардейская улица, дом: Д. 73;, центральная остановка СТА","Не указано","Высшее образование — бакалавриат","Полный рабочий день","Работа России","https://trudvsem.ru/vacancy/card/1022500820616/8e50052f-3f92-11f1-af40-15277f213853","40","Слабое совпадение","88","Срочно посмотреть","2026-06-30T07:37:43.730Z","2026-06-30T07:37:43.730Z","true","2026-04-24","2026-06-30T07:37:33.768Z"
"trudvsem-316ee080-62c7-11f1-875d-37533a592c34","Уборщик производственных и служебных помещений","МБОУ ЦО ""ПРИТЯЖЕНИЕ"" МО СПАССК-ДАЛЬНИЙ","от 40640","Приморский край","Приморский край, г Спасск-Дальний, Красногвардейская улица, дом: Д. 73;","Не указано","Общее образование","Полный рабочий день","Работа России","https://trudvsem.ru/vacancy/card/1022500820616/316ee080-62c7-11f1-875d-37533a592c34","55","Можно рассмотреть","71","Сильная возможность","2026-06-30T07:37:43.730Z","2026-06-30T07:37:43.730Z","true","2026-06-08","2026-06-30T07:37:33.768Z"
"trudvsem-4cf3cd68-1e71-11f1-99d5-5f9d65125ca1","Уборщик территорий","МБОУ ЦО ""ПРИТЯЖЕНИЕ"" МО СПАССК-ДАЛЬНИЙ","от 40640","Приморский край","Приморский край, г Спасск-Дальний, Красногвардейская улица, дом: Д. 73;","Не указано","Общее образование","Неполный рабочий день/неполная рабочая неделя","Работа России","https://trudvsem.ru/vacancy/card/1022500820616/4cf3cd68-1e71-11f1-99d5-5f9d65125ca1","55","Можно рассмотреть","71","Сильная возможность","2026-06-30T07:37:43.730Z","2026-06-30T07:37:43.730Z","true","2026-03-13","2026-06-30T07:37:33.768Z"
